Bird.species.code,Bodymass.g,Bill.width.mm,Kipp_index
Aburria_aburri,1407.5,18.35,0.183824
Amazona_farinosa,626,26.5,0.294448
Amazona_mercenaria,340,17.51,0.327586
Amazona_ochrocephala,440,20.17,0.260726
Ampelioides_tschudii,78.4,16.53,0.236758
Ampelion_rubrocristatus,66.3,14.77,0.234136
Ampelion_rufaxilla,73.9,16.97,0.284519
Andigena_hypoglauca,314,33.1,0.099281
Anisognathus_igniventris,34,10.55,0.156133
Anisognathus_somptuosus,42,10.61,0.19407
Ara_ararauna,1125,27.22,0.425972
Ara_chloropterus,1214,37.14,0.398137
Ara_macao,1015,29.54,0.378837
Ara_militaris,1134,29.7,0.417344
Ara_severus,343,19.49,0.404963
Aratinga_leucophthalma,158,16.09,0.388003
Aratinga_mitrata,249,17.7,0.431818
Aratinga_weddellii,108,13.61,0.440208
Aulacorhynchus_coeruleicinctis,208,26.85,0.114385
Aulacorhynchus_derbianus,210,27.75,0.126394
Aulacorhynchus_prasinus,199.5,26.33,0.137438
Bolborhynchus_lineola,56.2,8.44,0.496526
Bolborhynchus_orbygnesius,43.1,9.47,0.41633
Brotogeris_cyanoptera,56,9.93,0.37013
Brotogeris_sanctithomae,59,8.8,0.394099
Buthraupis_montana,96,13.46,0.214896
Cacicus_cela,87.5,12.36,0.27647
Cacicus_chrysonotus,91.8,11.71,0.163752
Cacicus_haemorrhous,85.4,12.93,0.263511
Capito_auratus,62.8,15.38,0.177683
Catamblyrhynchus_diadema,14.2,6.88,0.114594
Catharus_fuscater,33.7,10.07,0.156863
Celeus_elegans,117,13.25,0.163797
Celeus_flavus,201,10.15,0.179098
Celeus_grammicus,73.5,10.98,0.243118
Celeus_spectabilis,114,13.07,0.154362
Celeus_torquatus,134,12.21,0.210861
Cephalopterus_ornatus,380,30.17,0.1704
Chiroxiphia_boliviana,17.2,9.19,0.163981
Chiroxiphia_pareola,16.9,9.27,0.158491
Chlorochrysa_calliparaea,17,7.5,0.24423
Chlorophanes_spiza,19,7.79,0.231176
Chlorophonia_cyanea,14,6.53,0.277865
Chlorornis_riefferii,53,12,0.161798
Chlorospingus_canigularis,18,7.66,0.180272
Chlorospingus_flavigularis,25.6,10.05,0.165007
Chlorospingus_ophthalmicus,15.7,7.74,0.16229
Chlorospingus_parvirostris,24,8.52,0.16443
Cissopis_leverianus,76,13.2,0.12297
Claravis_mondetoura,89.7,6.82,0.2927
Clypicterus_oseryi,144.9,18.94,0.274624
Colaptes_rubiginosus,65.4,11.18,0.234143
Conioptilon_mcilhennyi,90,15.41,0.228188
Conirostrum_cinereum,8.8,5.12,0.190446
Conirostrum_speciosum,8.8,5.6,0.192661
Cotinga_cayana,61.8,15,0.250847
Cotinga_maynana,69,15.62,0.242678
Cyanerpes_caeruleus,12,5.96,0.233184
Cyanerpes_cyaneus,14,6.61,0.237318
Cyanocompsa_cyanoides,32.5,11.58,0.164912
Cyanocorax_cyanomelas,207,19.06,0.151733
Cyanocorax_violaceus,262,20.08,0.147192
Cyanocorax_yncas,78.5,15.02,0.080503
Dacnis_albiventris,11.2,7.04,0.254286
Dacnis_cayana,13,7.66,0.2451
Dacnis_flaviventer,13,7.32,0.206612
Dacnis_lineata,11,7.27,0.245812
Delothraupis_castaneoventris,28,8.47,0.179878
Diglossa_brunneiventris,12,6.03,0.161993
Diglossa_caerulescens,14.5,6.31,0.163467
Diglossa_cyanea,17.1,7.16,0.173633
Diglossa_glauca,12,5.4,0.185328
Diglossa_mystacalis,16.2,5.7,0.154326
Diglossa_sittoides,9,5.15,0.189884
Dubusia_taeniata,37,11.48,0.125
Elaenia_albiceps,15.5,8.44,0.227365
Elaenia_flavogaster,24.8,9.5,0.201923
Elaenia_gigas,31,10.82,0.191011
Elaenia_obscura,23.9,10.53,0.170588
Elaenia_pallatangae,17.8,7.06,0.210526
Entomodestes_leucotis,61.7,12.88,0.209957
Eubucco_richardsoni,33.9,12.19,0.138801
Eubucco_tucinkae,41.7,13.54,0.14658
Eubucco_versicolor,32.8,12.56,0.142192
Euphonia_chlorotica,11,6.86,0.261787
