Plant.species.code,Genus,Fruit.length.mm,Fruit.D1.mm,Fruit.D2.mm,Plant.height.m
Abuta_grandifolia,Abuta,17.475,9.375,9.12,6
Abuta_sp,Abuta,23.459,13.6265,12.85,13
Agouticarpa_sp,Agouticarpa,38.775,41.105,41.74,3
Alchornea_latifolia,Alchornea,6.818955,8.230333,NA,11.53056
Alchornea_triplinervia,Alchornea,8.17775,10.26125,7.78875,14.72222
Allophylus_punctatus,Allophylus,13.57778,12.48889,12.41111111,4.4
Alnus_acuminata,Alnus,19.315,11.48,11.305,17.53846
Aniba_guianensis,Aniba,15.65,13.43,14.18,8
Anthurium_croatii,Anthurium,288.2,16.2,15.5,5
Anthurium_obtusum,Anthurium,2.657143,2.857143,3.414285714,5
Ardisia_guianensis,Ardisia,4.775862,6.310345,6.244827586,4.166667
Ardisia_loretensis,Ardisia,8.835714,9.128571,9.2,1.0125
Ardisia_sp,Ardisia,3.58,3.86,3.895,7
Bactris_hirta,Bactris,8.266667,6.911111,6.977777778,1.217391
Banara_arguta,Banara,8.925,9.015,8.985,5.2
Bejaria_aestuans,Bejaria,6.265,7.22,7.28,3.071429
Besleria_compta,Besleria,11.29,7.295,7.29,1.4
Blakea_sp,Blakea,10.295,5.84,6.885,10.125
Bocconia_integrifolia,Bocconia,12.8885,5.3045,5.0995,6
Bomarea_edulis,Bomarea,16.36667,16.62,17.02666667,2
Brachyotum_grisebachii,Brachyotum,7.372727,5.704545,5.713636364,1.197778
Brachyotum_weberbaueri,Brachyotum,7.7325,5.985,5.846,3
Brosimum_utile,Brosimum,8.182353,11.37059,11.23529412,24
Brunellia_stenoptera,Brunellia,2.84,4.54,4.54,14
Cabralea_canjerana,Cabralea,32.79828,34.86,34.43793103,18.25
Calatola_costaricensis,Calatola,66.95,43.15,42.725,14.33333
Calyptranthes_ruiziana,Calyptranthes,5.695,7.995,6.485,16
Calyptranthes_speciosa,Calyptranthes,3.92,3.095,3.015,3.833333
Carapa_vasquezii,Carapa,25.53333,21.40833,21.825,19
Caryocar_amygdaliforme,Caryocar,67.2,76.43333,65.3,8
Caryocar_glabrum,Caryocar,12.02,9.765,9.685,14
Casearia_combaymensis,Casearia,28.44,30.31,30.465,7
Casearia_corymbosa,Casearia,10.535,9.985,10.085,10.625
Casearia_obovalis,Casearia,75.38,78.98,79.12,9.142857
Casearia_ulmifolia,Casearia,4.715,3.87,3.835,20
Cavendishia_bracteata,Cavendishia,6.366824,8.539588,8.558941176,4.102182
Cayaponia_citrullifolia,Cayaponia,13.954,16.1765,16.2765,11.2
Cecropia_angustifolia,Cecropia,0.8,0.5,17.395,25.9
Cecropia_polystachya,Cecropia,0.8,0.5,18.26666667,13
Cecropia_strigosa,Cecropia,0.8,0.5,8.07,12.11111
Celtis_iguanaea,Celtis,13.68125,9.29375,8.2375,6
Cestrum_parqui,Cestrum,6.571356,5.905593,5.842372881,3.875
Cestrum_reflexum,Cestrum,7.68625,6.21475,6.07375,4.4
